,boosting_type,scale_pos_weight,learning_rate,min_child_weight,num_leaves,max_depth,subsample,colsample_bytree,n_estimators,AUC,F1,Precision 1,Recall 0,Recall 1,Accuracy
0,dart,150,0.05,15,100,14,0.5,0.9,1000,60.95%,25.00%,28.71%,99.75%,22.14%,99.41%
0,dart,150,0.05,15,100,14,0.5,0.9,1000,60.95%,25.00%,28.71%,99.75%,22.14%,99.41%
0,dart,150,0.05,15,100,14,0.5,0.3,1000,61.33%,25.86%,29.70%,99.76%,22.90%,99.42%
0,dart,150,0.05,15,100,17,0.5,0.9,1000,60.57%,24.67%,29.17%,99.77%,21.37%,99.42%
0,dart,150,0.05,15,100,17,0.5,0.3,1000,60.96%,25.89%,31.18%,99.78%,22.14%,99.44%
0,dart,150,0.05,19,100,14,0.5,0.9,1000,60.93%,23.97%,26.13%,99.72%,22.14%,99.37%
0,dart,150,0.05,19,100,14,0.5,0.3,1000,61.69%,25.20%,26.96%,99.71%,23.66%,99.37%
0,dart,150,0.05,19,100,17,0.5,0.9,1000,62.07%,25.91%,27.59%,99.71%,24.43%,99.38%
0,dart,150,0.05,19,100,17,0.5,0.3,1000,61.33%,25.97%,30.00%,99.76%,22.90%,99.42%
0,dart,120,0.05,15,100,14,0.5,0.9,1000,59.82%,23.85%,29.89%,99.79%,19.85%,99.44%
0,dart,120,0.05,15,100,14,0.5,0.3,1000,61.35%,27.03%,32.97%,99.79%,22.90%,99.45%
0,dart,120,0.05,15,100,17,0.5,0.9,1000,60.20%,24.77%,31.03%,99.80%,20.61%,99.44%
0,dart,120,0.05,15,100,17,0.5,0.3,1000,60.21%,25.23%,32.53%,99.81%,20.61%,99.46%
0,dart,120,0.05,19,100,14,0.5,0.9,1000,62.07%,25.91%,27.59%,99.71%,24.43%,99.38%
0,dart,120,0.05,19,100,14,0.5,0.3,1000,60.94%,24.47%,27.36%,99.74%,22.14%,99.39%
0,dart,120,0.05,19,100,17,0.5,0.9,1000,60.56%,23.83%,26.92%,99.74%,21.37%,99.39%
0,dart,120,0.05,19,100,17,0.5,0.3,1000,61.33%,26.09%,30.30%,99.76%,22.90%,99.42%
0,dart,120,0.05,15,100,14,0.5,0.3,1000,61.35%,27.03%,32.97%,99.79%,22.90%,99.45%
0,dart,120,0.05,15,100,12,0.5,0.3,1000,60.95%,25.00%,28.71%,99.75%,22.14%,99.41%
0,dart,120,0.05,13,100,14,0.5,0.3,1000,60.60%,26.42%,34.57%,99.82%,21.37%,99.47%
0,dart,120,0.05,13,100,12,0.5,0.3,1000,61.73%,27.93%,34.07%,99.80%,23.66%,99.46%
0,dart,100,0.05,15,100,14,0.5,0.3,1000,60.21%,25.12%,32.14%,99.81%,20.61%,99.45%
0,dart,100,0.05,15,100,12,0.5,0.3,1000,60.58%,25.34%,31.11%,99.79%,21.37%,99.44%
0,dart,100,0.05,13,100,14,0.5,0.3,1000,59.83%,24.30%,31.33%,99.81%,19.85%,99.45%
0,dart,100,0.05,13,100,12,0.5,0.3,1000,60.59%,25.81%,32.56%,99.80%,21.37%,99.45%
0,dart,120,0.05,11,100,10,0.5,0.3,1000,60.58%,25.23%,30.77%,99.78%,21.37%,99.44%
0,dart,120,0.05,11,100,12,0.5,0.3,1000,59.83%,24.53%,32.10%,99.81%,19.85%,99.46%
0,dart,120,0.05,13,100,10,0.5,0.3,1000,60.94%,24.58%,27.62%,99.74%,22.14%,99.39%
0,dart,120,0.05,13,100,12,0.5,0.3,1000,61.73%,27.93%,34.07%,99.80%,23.66%,99.46%
0,dart,120,0.05,13,100,11,0.5,0.3,1000,60.95%,25.00%,28.71%,99.75%,22.14%,99.41%
0,dart,120,0.05,13,100,13,0.5,0.3,1000,59.82%,23.96%,30.23%,99.80%,19.85%,99.44%
0,dart,120,0.05,25,100,11,0.5,0.3,1000,62.77%,23.94%,22.22%,99.59%,25.95%,99.27%
0,dart,120,0.05,25,100,13,0.5,0.3,1000,63.20%,26.92%,27.13%,99.68%,26.72%,99.35%
0,dart,120,0.05,27,100,11,0.5,0.3,1000,62.78%,24.46%,23.13%,99.61%,25.95%,99.29%
0,dart,120,0.05,27,100,13,0.5,0.3,1000,62.80%,25.28%,24.64%,99.64%,25.95%,99.32%
0,dart,120,0.05,31,100,11,0.5,0.3,1000,62.75%,22.67%,20.12%,99.54%,25.95%,99.21%
0,dart,120,0.05,31,100,13,0.5,0.3,1000,62.77%,23.86%,22.08%,99.59%,25.95%,99.26%
